Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Apache County, Arizona",71511,15128,15128,0.21,Apache County,Arizona
"Cochise County, Arizona",125867,26819,26819,0.21,Cochise County,Arizona
"Coconino County, Arizona",141274,27339,27339,0.19,Coconino County,Arizona
"Gila County, Arizona",53546,24251,24251,0.45,Gila County,Arizona
"Graham County, Arizona",37996,18683,18683,0.49,Graham County,Arizona
"Greenlee County, Arizona",9522,25780,25780,2.71,Greenlee County,Arizona
"La Paz County, Arizona",20793,22879,22879,1.1,La Paz County,Arizona
"Maricopa County, Arizona",4328810,33279,33279,0.01,Maricopa County,Arizona
"Mohave County, Arizona",207695,26166,26166,0.13,Mohave County,Arizona
"Navajo County, Arizona",109270,18935,18935,0.17,Navajo County,Arizona
"Pima County, Arizona",1027207,29707,29707,0.03,Pima County,Arizona
"Pinal County, Arizona",432793,24959,24959,0.06,Pinal County,Arizona
"Santa Cruz County, Arizona",46480,21480,21480,0.46,Santa Cruz County,Arizona
"Yavapai County, Arizona",228067,30341,30341,0.13,Yavapai County,Arizona
"Yuma County, Arizona",209468,21758,21758,0.1,Yuma County,Arizona
"Arkansas County, Arkansas",17914,26386,26386,1.47,Arkansas County,Arkansas
"Ashley County, Arkansas",20270,23391,23391,1.15,Ashley County,Arkansas
"Baxter County, Arkansas",41427,26863,26863,0.65,Baxter County,Arkansas
"Benton County, Arkansas",265759,34442,34442,0.13,Benton County,Arkansas
"Boone County, Arkansas",37331,24727,24727,0.66,Boone County,Arkansas
"Bradley County, Arkansas",10874,22945,22945,2.11,Bradley County,Arkansas
"Calhoun County, Arkansas",5192,23688,23688,4.56,Calhoun County,Arkansas
"Carroll County, Arkansas",27965,25295,25295,0.9,Carroll County,Arkansas
"Chicot County, Arkansas",10615,20232,20232,1.91,Chicot County,Arkansas
"Clark County, Arkansas",22386,21337,21337,0.95,Clark County,Arkansas
"Clay County, Arkansas",14889,22505,22505,1.51,Clay County,Arkansas
"Cleburne County, Arkansas",25100,27227,27227,1.08,Cleburne County,Arkansas
"Cleveland County, Arkansas",8128,24225,24225,2.98,Cleveland County,Arkansas
"Columbia County, Arkansas",23776,21189,21189,0.89,Columbia County,Arkansas
"Conway County, Arkansas",20858,25158,25158,1.21,Conway County,Arkansas
"Craighead County, Arkansas",107345,26948,26948,0.25,Craighead County,Arkansas
"Crawford County, Arkansas",62739,24547,24547,0.39,Crawford County,Arkansas
"Crittenden County, Arkansas",48672,23172,23172,0.48,Crittenden County,Arkansas
"Cross County, Arkansas",16824,25380,25380,1.51,Cross County,Arkansas
"Dallas County, Arkansas",7279,20517,20517,2.82,Dallas County,Arkansas
"Desha County, Arkansas",11709,19235,19235,1.64,Desha County,Arkansas
"Drew County, Arkansas",18417,25543,25543,1.39,Drew County,Arkansas
"Faulkner County, Arkansas",123624,26913,26913,0.22,Faulkner County,Arkansas
"Franklin County, Arkansas",17738,20480,20480,1.15,Franklin County,Arkansas
"Fulton County, Arkansas",12231,19697,19697,1.61,Fulton County,Arkansas
"Garland County, Arkansas",98555,27171,27171,0.28,Garland County,Arkansas
"Grant County, Arkansas",18126,28153,28153,1.55,Grant County,Arkansas
"Greene County, Arkansas",44937,23494,23494,0.52,Greene County,Arkansas
"Hempstead County, Arkansas",21842,21521,21521,0.99,Hempstead County,Arkansas
"Hot Spring County, Arkansas",33597,21866,21866,0.65,Hot Spring County,Arkansas
"Howard County, Arkansas",13311,24481,24481,1.84,Howard County,Arkansas
"Independence County, Arkansas",37427,23733,23733,0.63,Independence County,Arkansas
"Izard County, Arkansas",13570,21164,21164,1.56,Izard County,Arkansas
"Jackson County, Arkansas",17027,20295,20295,1.19,Jackson County,Arkansas
"Jefferson County, Arkansas",69282,21472,21472,0.31,Jefferson County,Arkansas
"Johnson County, Arkansas",26372,21010,21010,0.8,Johnson County,Arkansas
